epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,360.641,0.45397,0.31705,0.82466,0.93137,0.97837,0.97112,0.89996,0.38595,0.29804,0.79764,0.00107205,0.00107205,0.00107205
43,369.169,0.44016,0.31637,0.8214,0.926,0.98075,0.97162,0.90603,0.3712,0.29317,0.79598,0.00104705,0.00104705,0.00104705
44,377.675,0.44984,0.31361,0.8281,0.94236,0.96292,0.96906,0.89318,0.39893,0.31083,0.7989,0.00102184,0.00102184,0.00102184
45,386.191,0.45461,0.31568,0.81846,0.94325,0.96228,0.96835,0.90701,0.37184,0.28369,0.79549,0.000996456,0.000996456,0.000996456
46,394.686,0.42291,0.30252,0.81211,0.93256,0.95896,0.95661,0.89358,0.3997,0.29433,0.79862,0.000970919,0.000970919,0.000970919
47,403.175,0.43779,0.30977,0.82414,0.91993,0.98004,0.9609,0.89787,0.3663,0.2953,0.79302,0.000945256,0.000945256,0.000945256
48,411.715,0.43324,0.30676,0.81644,0.92737,0.9809,0.96513,0.89838,0.35849,0.2903,0.79054,0.00091949,0.00091949,0.00091949
49,420.253,0.43201,0.30396,0.82065,0.92785,0.97963,0.96574,0.90598,0.38102,0.29157,0.79543,0.000893648,0.000893648,0.000893648
50,428.781,0.44136,0.30956,0.8189,0.924,0.98126,0.97231,0.91221,0.36695,0.29663,0.79269,0.000867754,0.000867754,0.000867754
51,437.284,0.43117,0.29978,0.82774,0.92782,0.96758,0.97276,0.92136,0.36106,0.27804,0.79263,0.000841835,0.000841835,0.000841835
52,445.925,0.41776,0.29275,0.81493,0.93243,0.97948,0.97165,0.91337,0.36803,0.27984,0.79445,0.000815916,0.000815916,0.000815916
53,454.441,0.41953,0.29681,0.81933,0.93045,0.97948,0.97557,0.90728,0.37074,0.2883,0.79559,0.000790022,0.000790022,0.000790022
54,462.963,0.41265,0.29431,0.81464,0.92655,0.97934,0.9748,0.90814,0.36994,0.28564,0.79379,0.00076418,0.00076418,0.00076418
55,471.424,0.42932,0.3054,0.82093,0.92911,0.98078,0.97662,0.91807,0.35607,0.28188,0.79118,0.000738414,0.000738414,0.000738414
56,479.928,0.40702,0.29051,0.81269,0.92379,0.98126,0.96742,0.90588,0.38839,0.28815,0.80178,0.000712751,0.000712751,0.000712751
57,488.398,0.41274,0.28283,0.81334,0.94228,0.96223,0.96167,0.88919,0.37704,0.28281,0.79499,0.000687214,0.000687214,0.000687214
58,496.902,0.40657,0.28627,0.81996,0.94107,0.96563,0.97089,0.91684,0.34525,0.27533,0.78977,0.000661831,0.000661831,0.000661831
59,505.388,0.40867,0.28237,0.81762,0.94042,0.96698,0.96992,0.91212,0.35029,0.266,0.79106,0.000636625,0.000636625,0.000636625
60,513.9,0.40745,0.282,0.81184,0.93502,0.9777,0.9678,0.89808,0.35535,0.27323,0.79226,0.000611621,0.000611621,0.000611621
61,522.4,0.39619,0.28278,0.81133,0.93087,0.96698,0.97727,0.90887,0.37418,0.27149,0.79168,0.000586845,0.000586845,0.000586845
62,530.929,0.39551,0.2787,0.81216,0.92896,0.97689,0.97688,0.91794,0.35124,0.27091,0.78969,0.00056232,0.00056232,0.00056232
63,539.399,0.40461,0.27858,0.81356,0.93172,0.96698,0.96253,0.90207,0.34451,0.26633,0.79068,0.000538072,0.000538072,0.000538072
64,547.941,0.40983,0.28352,0.81198,0.93402,0.98037,0.96828,0.9131,0.34805,0.26203,0.7905,0.000514122,0.000514122,0.000514122
65,556.485,0.39861,0.27937,0.8171,0.93214,0.97979,0.96589,0.91572,0.34602,0.26297,0.79057,0.000490497,0.000490497,0.000490497
66,564.97,0.39336,0.27176,0.81429,0.92567,0.98148,0.97807,0.92365,0.34469,0.26201,0.78903,0.000467218,0.000467218,0.000467218
67,573.56,0.39828,0.27538,0.8141,0.92566,0.98197,0.9591,0.90093,0.3407,0.25992,0.78933,0.000444309,0.000444309,0.000444309
68,582.041,0.38735,0.26431,0.81139,0.93237,0.96607,0.97107,0.91389,0.34109,0.25086,0.78932,0.000421792,0.000421792,0.000421792
69,590.55,0.38892,0.26289,0.80992,0.9335,0.97676,0.96974,0.91693,0.34656,0.25483,0.789,0.000399689,0.000399689,0.000399689
70,599.049,0.38485,0.26492,0.81444,0.93287,0.97859,0.96742,0.91323,0.33756,0.25375,0.78896,0.000378023,0.000378023,0.000378023
71,607.551,0.37364,0.25958,0.80486,0.93454,0.97929,0.97338,0.93281,0.33472,0.24718,0.78764,0.000356815,0.000356815,0.000356815
72,616.197,0.37703,0.25716,0.80256,0.93557,0.97859,0.97384,0.91722,0.33667,0.25393,0.78643,0.000336086,0.000336086,0.000336086
73,624.677,0.37816,0.26277,0.81009,0.93507,0.97948,0.97335,0.91696,0.33482,0.24541,0.78532,0.000315855,0.000315855,0.000315855
74,633.216,0.37081,0.25798,0.80212,0.9303,0.97948,0.97546,0.9306,0.33908,0.25286,0.78606,0.000296144,0.000296144,0.000296144
75,641.722,0.36694,0.25752,0.8034,0.93504,0.97913,0.97185,0.9266,0.33626,0.25079,0.78602,0.000276971,0.000276971,0.000276971
76,650.279,0.37244,0.26118,0.81009,0.93233,0.96698,0.97167,0.91869,0.33396,0.24705,0.78788,0.000258355,0.000258355,0.000258355
77,658.782,0.36833,0.25711,0.8005,0.93068,0.96603,0.97725,0.92385,0.32988,0.2474,0.7851,0.000240316,0.000240316,0.000240316
78,667.366,0.36986,0.25349,0.81054,0.92667,0.96758,0.98016,0.93149,0.32199,0.23747,0.78441,0.00022287,0.00022287,0.00022287
79,675.902,0.3684,0.25137,0.80384,0.92971,0.96648,0.98199,0.93417,0.32504,0.24382,0.78508,0.000206034,0.000206034,0.000206034
80,684.514,0.36786,0.25056,0.80557,0.93202,0.96589,0.97877,0.92844,0.33248,0.24736,0.78641,0.000189827,0.000189827,0.000189827
81,693.052,0.36281,0.24718,0.80665,0.93154,0.97848,0.97848,0.92931,0.33314,0.2457,0.787,0.000174262,0.000174262,0.000174262
82,701.603,0.37194,0.25552,0.80585,0.93252,0.97786,0.98118,0.92856,0.32627,0.24431,0.78669,0.000159357,0.000159357,0.000159357
83,710.099,0.35751,0.24576,0.80716,0.93213,0.97775,0.98034,0.93071,0.33309,0.24754,0.78655,0.000145125,0.000145125,0.000145125
84,718.623,0.36197,0.24648,0.80443,0.93194,0.96541,0.98013,0.92843,0.3278,0.24214,0.7855,0.000131581,0.000131581,0.000131581
85,727.18,0.35036,0.24052,0.80348,0.93193,0.96558,0.97778,0.9261,0.32639,0.24054,0.78453,0.000118737,0.000118737,0.000118737
86,735.726,0.35835,0.24195,0.80136,0.93218,0.97948,0.9778,0.92874,0.32396,0.23765,0.78469,0.000106608,0.000106608,0.000106608
87,744.274,0.3621,0.24664,0.80229,0.93206,0.9792,0.97908,0.92068,0.33379,0.24132,0.78485,9.52034e-05,9.52034e-05,9.52034e-05
88,752.795,0.35145,0.24049,0.7991,0.93232,0.97741,0.97961,0.93072,0.32355,0.2383,0.78388,8.4536e-05,8.4536e-05,8.4536e-05
89,761.257,0.35596,0.2429,0.80604,0.93256,0.97737,0.9802,0.9307,0.32706,0.23427,0.78462,7.4616e-05,7.4616e-05,7.4616e-05
90,769.815,0.35466,0.23881,0.80716,0.93273,0.97701,0.98046,0.9331,0.32212,0.23216,0.78337,6.54531e-05,6.54531e-05,6.54531e-05
91,778.909,0.31741,0.2211,0.78946,0.93331,0.97809,0.97942,0.93049,0.32465,0.23322,0.78422,5.70564e-05,5.70564e-05,5.70564e-05
92,787.639,0.31721,0.22178,0.78959,0.93334,0.97797,0.979,0.92555,0.3241,0.23415,0.78405,4.94343e-05,4.94343e-05,4.94343e-05
93,796.069,0.31338,0.21865,0.78879,0.93389,0.9777,0.97834,0.92125,0.3252,0.23524,0.78406,4.25941e-05,4.25941e-05,4.25941e-05
94,804.529,0.31333,0.2179,0.78714,0.93491,0.97745,0.97825,0.92402,0.32451,0.23511,0.78431,3.65426e-05,3.65426e-05,3.65426e-05
95,812.952,0.31251,0.21909,0.78687,0.9347,0.9777,0.97921,0.92497,0.32448,0.23444,0.78444,3.12859e-05,3.12859e-05,3.12859e-05
96,821.399,0.30286,0.2132,0.78639,0.93447,0.97819,0.97858,0.92484,0.32364,0.2325,0.78479,2.68292e-05,2.68292e-05,2.68292e-05
97,829.803,0.3067,0.21252,0.78716,0.93375,0.97892,0.97801,0.92422,0.32273,0.23072,0.78466,2.31767e-05,2.31767e-05,2.31767e-05
98,838.217,0.30736,0.21327,0.78591,0.93257,0.97791,0.9784,0.92557,0.32295,0.23013,0.78475,2.03321e-05,2.03321e-05,2.03321e-05
99,846.618,0.30298,0.20876,0.78222,0.93298,0.97804,0.97854,0.9291,0.32209,0.22997,0.78417,1.82983e-05,1.82983e-05,1.82983e-05
